Date,Prev Close,Open,High,Low,Close,Volume,,,,,
11/9/2001,38.55,39.15,39.8,38.5,39.4,2715,,,,,
11/12/2001,39.4,39.75,40.5,39.1,39.2,3584,,,,,
11/13/2001,39.2,39,39.6,38.6,39.15,2968,,,,,
11/14/2001,39.15,40,41.5,39.7,40.8,10073,,,,,
11/15/2001,40.8,47.8,49,43.75,48.45,45463,,,,,
11/19/2001,48.45,50,53.8,50,52.5,28394,,,,,
11/20/2001,52.5,52.6,53,46.15,50,13205,,,,,
11/21/2001,50,46.35,52,46.2,50.45,8507,,,,,
11/22/2001,50.45,51,58,50,51.3,40852,,,,,
11/23/2001,51.3,54.8,54.8,51.5,51.95,12674,,,,,
11/26/2001,51.95,53.75,53.75,51,52,10338,,,,,
11/27/2001,52,52,53.5,50,50.45,10606,,,,,
11/28/2001,50.45,51,51,48,48.15,6705,,,,,
11/29/2001,48.15,47,48.95,46.5,48.2,7610,,,,,
12/3/2001,48.2,47,50.5,46.5,49.65,10779,,,,,
12/4/2001,49.65,48.85,49.7,48.5,49.4,2857,,,,,
12/5/2001,49.4,50.05,50.8,48.15,49.55,8785,,,,,
12/6/2001,49.55,53,53,48.5,48.6,17292,,,,,
12/7/2001,48.6,48,49.35,48,48.55,7562,,,,,
12/10/2001,48.55,54,54,48.6,49.35,16272,,,,,
12/11/2001,49.35,48.55,51.9,47.75,49.3,13511,,,,,
12/12/2001,49.3,49,50.35,48.1,48.3,3895,,,,,
12/13/2001,48.3,49.5,51.85,46.5,47.45,31287,,,,,
12/14/2001,47.45,48.1,51,48,50.65,26178,,,,,
12/18/2001,50.65,50.1,51.7,48.6,50.35,27379,,,,,
12/19/2001,50.35,50.5,51,49,49.45,16232,,,,,
12/20/2001,49.45,50,50.3,46.5,49.75,15775,,,,,
12/21/2001,49.75,55,55,47.25,49.4,18423,,,,,
12/24/2001,49.4,45,49.5,45,47.85,13924,,,,,
12/26/2001,47.85,48.95,51,48,48.85,6611,,,,,
12/27/2001,48.85,48.1,50,48.1,49.15,14717,,,,,
12/28/2001,49.15,47,50.1,47,49.45,17311,,,,,
12/31/2001,49.45,55,55,50,50.65,8389,,,,,
1/1/2002,50.65,49.75,50.85,48,49.1,10010,,,,,
1/2/2002,49.1,50,52.5,48.85,51.85,9060,,,,,
1/3/2002,51.85,51,52,50.9,51.5,10320,,,,,
1/4/2002,51.5,51.3,51.5,50,50.6,6765,,,,,
1/7/2002,50.6,50.5,60.75,50.5,58.95,41349,,,,,
1/8/2002,58.95,60,70.75,60,66.85,63094,,,,,
1/9/2002,66.85,69,73,66.1,67.7,88089,,,,,
